,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50
Cell_109,1.4598,0.7305,0.5459,1.7599,1.647,4.9873,4.2023,3.5702,4.2426,3.7917,1.71,0.6146,0.9167,1.7975,1.494,1.0924,0.5125,0,1.2806,2.1751,1.4438,0.936,1.119,0.6143,1.052,1.1596,1.0439,1.3337,0.8429,0.9267,0.9123,0.2599,0.6979,1.5726,0.6131,0.5168,0.4129,1.6993,1.2183,1.3421,0.6295,1.1201,1.5377,0.8792,0.3879,1.3377,1.6368,1.0572,0.5075,1.2277
Cell_110,0.9844,1.5108,0.8436,0.6554,1.3873,5.1378,4.592,3.3505,4.3965,3.6543,1.3178,1.0889,1.5212,1.4558,1.8842,1.0082,1.3056,1.4546,1.3168,1.9542,1.1496,0.9752,0.8602,0.412,0.8684,1.1777,0.4497,0.5441,0,0.443,0.5978,0.7964,1.4538,0.6856,1.7118,1.5882,0,0.7804,1.4786,0.9139,0.807,1.0206,1.0877,1.13,1.0585,1.6657,1.659,1.3232,0.3633,0.7977
Cell_111,0.615,1.592,1.0936,1.6,1.1245,4.3087,4.8369,3.2698,4.0367,3.1968,1.1728,0.9399,0.8472,0.5701,1.4197,0.8038,1.3742,0.8896,0.5225,0.9063,0.8984,1.5906,1.1571,1.5397,0.7293,1.6351,0.9427,1.2892,0.2152,1.06,1.6552,1.42,1.2811,0.4734,1.5165,1.1644,1.1301,1.1251,0.3951,0.1808,0.5382,1.2007,0,1.2488,1.5756,1.0098,1.2012,1.11,1.761,1.4455
Cell_112,1.2625,1.0159,0.2184,1.1142,1.635,5.521,3.7432,4.0817,2.8577,4.535,0.2468,0.733,0.8378,1.4759,0.8543,0.8425,0.5933,1.5172,0.6722,0.6104,0.9052,0.8043,0.7772,1.1857,0.6905,1.3523,0.5126,0.2755,1.0524,1.1543,0.8991,0.7208,0.7611,0.7075,0.8512,0.8344,1.2208,1.1244,0.5339,0.1662,0.2648,1.3378,0.992,1.0504,1.0902,1.8357,0.8142,0.9414,0.2698,1.8525
Cell_113,0.9507,0.9367,1.3116,1.1212,0.7808,3.6626,3.6132,4.2266,3.5031,3.481,1.1705,0.7787,1.2984,1.09,1.472,0.9344,0.9872,1.4951,1.0526,1.3152,1.1734,1.0745,0.3272,0.6172,1.7098,0.7384,0.9566,0.4816,0.3278,1.5946,1.1467,0.7512,0.5594,0.7671,0.7976,0.8408,1.1653,0.6517,1.0052,1.0941,0.5041,2.2523,0.7284,1.195,0.6131,0.3065,1.3381,0.966,0.4255,0.9622
Cell_114,1.1753,1.4053,2.0247,0.8315,0.9508,3.9081,3.9106,4.0764,2.8452,4.6998,1.0779,1.5125,1.0203,1.1099,1.3753,1.4388,1.6596,1.0423,1.231,1.0051,1.9466,0.6365,0,1.7921,1.6859,1.6492,0.7309,1.0211,1.7196,0.4685,1.3425,1.698,1.188,0.6514,0.5441,1.5516,0.8962,0.9011,1.0039,0.5242,0.414,1.0882,0.6598,0.3838,0.5267,0.7232,1.8943,0.5843,1.6482,0.9983
Cell_115,0.4646,2.1533,1.2062,1.7377,0.5319,3.8447,3.6181,3.3839,4.2192,2.8184,1.7995,1.9465,0.7626,1.7998,0.1358,0,0.675,0.8939,0,0.0527,1.0513,1.2359,0.6362,2.1384,0.8659,0.5768,0.9568,1.85,0.188,1.6586,1.7401,0.1796,1.3034,0.071,1.7141,2.7683,0.9732,1.5522,1.6116,0.8025,0,0.829,1.0602,0.9924,1.414,0.8446,0.5547,1.2296,0.7889,1.058
Cell_116,0.984,0.7074,1.0564,0.8541,1.7884,3.6137,3.6977,5.0868,2.2864,4.8214,1.5843,1.2562,0.0466,2.2202,1.0928,0.7465,0.876,1.3931,0.3926,1.5127,0.4654,1.9707,1.3371,0.4458,2.0722,0.8048,1.064,1.6214,0.9393,1.2015,0.3548,1.9903,1.7222,1.5181,1.2141,1.4378,1.6848,0.1206,0.5139,0.9348,0.0814,0.4907,1.3476,0.8131,1.7853,0.8468,0.7952,0.8426,0.6606,1.0306
Cell_117,1.3741,1.1458,0.6199,0.6266,0.3687,4.8043,4.0725,3.631,4.6817,4.5865,1.7937,1.3221,0.6783,0.8275,1.5041,1.7314,0.7401,0.808,1.422,1.3352,0.3398,1.0457,1.0155,1.484,0.9597,1.0863,0.8848,0.7669,0,0.6892,0.563,0.9614,0.4265,1.2417,0.623,1.6134,0.6795,0.6116,1.0202,0.3813,0.5323,0.6628,1.2299,0.8357,0.6591,0.5129,0.5523,1.164,0.9942,0.2007
Cell_118,0.3385,1.0431,0.8366,1.4793,1.017,3.0709,4.1565,3.611,3.5176,3.8318,0.321,1.1643,0.9963,0.5481,0.6153,1.0632,1.7776,0.9313,0.4725,2.1508,1.157,1.1108,1.0974,1.1651,0.0051,1.103,0.6555,0.4947,1.6927,0.792,1.2561,0.974,0.8429,1.0129,1.0329,0.2747,1.1482,1.0031,0.6118,1.0291,0,1.0756,0.4083,0.9949,2.1618,0.5249,0.7867,0.726,1.1478,0
Cell_119,0.758,1.3997,0.0014,0.9934,0.481,5.0768,3.3599,3.2005,3.7777,5.1035,0.9481,1.3983,0.3749,0,0.5919,1.7682,0.9543,1.2813,0.8496,0.8159,0.9034,1.566,1.2163,1.0387,1.4358,0.4717,1.1039,0.5158,0.8742,0.8397,1.0034,2.1041,0.6399,1.7673,2.0981,1.4033,0.4029,0.311,0.3136,1.147,1.5487,0.5777,0.8179,1.2817,1.2016,1.0969,1.5793,0,1.223,1.1361
Cell_120,1.0048,1.1975,0.6075,1.585,1.2427,4.6674,3.7922,3.3975,5.0589,3.9447,0.8408,1.1998,0.8716,0.9054,1.3041,1.2864,0.8419,1.2359,0.3643,0.8066,1.1911,1.1278,1.4937,0.8552,1.5671,0.9915,1.3513,1.1763,0.6237,1.6856,0.8352,1.1111,1.0485,0,1.1241,1.5875,1.2881,0.1966,1.4294,0.7849,1.6887,0.6574,0.891,0.9787,1.6961,0.7877,1.6214,1.1157,0.997,1.81
Cell_121,0.5934,1.5318,1.7039,1.0683,1.2795,3.4248,4.6075,3.1149,4.24,4.3025,0.8277,0.6363,0.4607,0.8017,1.8458,1.572,0.2414,1.0404,1.4333,1.4208,1.0767,0.9562,0.8262,0.9589,1.1891,1.9654,1.4126,0.3216,1.354,0.1663,1.3989,0.9502,0.8047,1.0177,1.1976,1.0758,1.5255,1.39,0.647,0.9338,0.9111,1.1589,1.031,1.5341,1.0995,1.7241,0.5354,0.8004,0.7312,1.026
Cell_122,1.567,1.8614,0.3921,1.2124,0.9072,3.5155,4.1323,3.5939,3.0166,3.5811,1.0977,1.2973,0.719,0.4039,1.0585,1.0992,1.1103,1.5204,1.1503,1.9587,0.618,0.7419,0.598,1.1676,1.5177,1.0779,1.8016,0.7339,0,0,0.9239,1.2581,0,1.19,0.8914,1.658,0.4363,1.4182,0.6408,1.4376,1.7209,2.4718,1.4465,1.3191,1.0357,0.7198,1.4083,1.1264,0.6613,1.1641
Cell_123,0.081,0.5191,0.8715,1.0643,1.4382,4.0553,2.7512,3.0146,3.2068,3.9492,0.5275,0.5276,0.4349,0.3799,1.5027,1.1124,0.6018,1.3081,0.7536,0.7197,1.4581,0.2512,0.7397,1.1116,0,1.4405,1.0789,0.8693,1.8885,1.3481,0.041,1.5637,0.9737,1.1223,0.8373,0.8117,1.0606,1.5195,1.4568,0.616,0.8629,0.1532,0.9454,1.3639,0.2632,0.7241,0.6055,0.6789,1.3079,1.1138
Cell_124,0.763,0.8813,1.1225,2.182,0.4078,3.3243,4.3898,4.1502,4.6148,3.3989,1.2555,0.9537,0.8846,1.2811,1.4202,1.4054,1.0198,1.0533,0.7756,0.9851,0.8058,1.1198,1.7921,0.1209,0.8982,0.6676,1.1586,0.6523,1.1865,0.7023,1.6376,0.9533,1.1303,0.5046,0.8261,0.333,0.5091,1.3576,1.2387,1.393,1.0364,1.1893,1.7261,1.4514,0.398,0.8212,0.8287,1.0752,0.654,0
Cell_125,0.2337,0.3119,1.3196,1.0212,1.3206,4.7626,3.1866,3.233,2.9155,5.3936,1.266,0.2236,0.988,0.7914,0.8149,0.5286,1.1632,0.5706,1.7155,1.3499,1.4415,0.9306,0.3101,1.2105,1.2587,0.0702,0.9771,1.4841,1.6972,1.2954,1.2361,0.4738,0.7441,1.4394,1.4854,0.9237,1.1023,0.2733,1.3383,0.8064,1.552,0.9821,0.5282,0.4608,1.3508,0.2667,1.427,0.6875,0.9489,0.7138
Cell_126,0.5333,1.2228,1.2216,1.0281,0.8282,3.9966,2.3347,4.3737,4.1788,4.4315,0.8529,1.2731,1.1394,1.2661,1.1871,1.1039,1.1651,0.6781,1.5189,0.1331,0,0.3857,0.4562,0.8496,1.1988,1.5368,0.3265,0.6089,0.871,0.7706,0.5753,1.5956,1.7924,0.3901,1.4498,0.7926,1.6345,1.0701,1.0552,1.3335,1.3788,0.5101,0.5016,1.0415,1.1937,1.5225,1.0259,0.8725,1.6547,1.5694
Cell_127,1.0139,0.0799,0.5341,0.8307,1.0207,3.7389,4.2667,3.465,4.5381,5.2165,1.6572,1.4078,1.4308,1.3675,1.2958,1.1604,0.5128,1.4131,1.0731,1.7936,0.4453,1.4168,0.6107,0.1858,0.8713,0.7154,1.454,0.9591,1.2735,1.1988,1.4866,1.2017,2.2677,0.9644,1.0391,1.5323,1.913,1.6497,1.7713,0.3387,0.8104,1.89,0.9038,1.5839,1.1352,1.2988,0.958,0.4093,0.9223,0.1384
Cell_128,1.5159,0.8595,0,1.2155,0.3372,4.7587,3.1146,3.6757,4.4063,4.7783,0.7996,1.2464,0.1004,1.0546,0.9467,0.9299,1.0506,1.3014,0.7492,1.1483,0.6121,1.7438,1.0015,1.1418,0.7051,0.6341,1.4382,0.8061,1.6242,0.2969,1.2134,0.7743,0,1.5998,0.3631,1.4032,0.9728,1.4542,1.7376,0.9302,1.394,0.3349,1.1618,0.7525,0.3462,1.4946,1.0725,0.2664,0.8798,1.5466
Cell_129,0.8176,0.8485,1.747,0.9326,0.6028,3.8515,3.4612,4.1279,3.9757,3.6256,1.7335,0.4783,1.1081,1.4523,0.9233,1.343,0.1846,0.8839,0.58,0.3054,0.7898,1.2308,0.8716,0.4759,1.0956,0.7659,0,1.1151,0.7628,0.8711,1.0093,0.9041,0.2848,0.406,1.7633,0.9793,0.9676,0.088,0.5104,1.458,1.195,1.7983,0.9709,1.0709,1.053,0.8323,0.7956,0.1188,0.6719,1.0812
Cell_130,0.7638,0.806,1.683,1.1387,0.7185,3.142,4.2048,3.3503,3.4134,3.6045,1.0501,0.3726,0.535,0.488,1.1482,0.3982,0,0.6359,1.7875,1.0735,0.6504,0.7084,1.5836,0.735,1.1012,1.3453,1.0423,1.389,2.2023,1.4643,0.7361,2.0018,1.3327,0.3059,1.4664,0.1401,1.5687,1.2671,0.9175,1.5664,1.351,1.3783,0.5147,1.1186,1.608,1.1077,1.1532,0.4092,1.3848,0.6879
Cell_131,1.2166,1.9771,1.2121,0.71,1.4869,4.2841,4.0569,3.9164,3.8045,4.2812,1.1898,1.0939,1.2408,0.1374,1.3702,0.5507,1.7453,1.4584,0.5787,1.5163,0.4033,1.2842,0.1768,0.5576,0.8998,1.9737,0.2946,1.1923,1.1793,0.8567,1.1532,1.2236,1.1428,1.3621,1.5343,0.4683,0.2184,2.3107,0.9348,0.8062,1.6132,0.0659,1.4893,1.1441,0.7721,0.985,0.5055,0.5636,1.2539,0.4494
Cell_132,1.4648,1.5674,1.1381,0.953,0.89,4.3096,3.6111,3.6656,3.9029,4.371,0.9837,0.8159,0.671,0.1933,1.425,0.8643,0.2586,1.0684,0.8067,0.341,0.9621,1.0486,0.9192,0.844,0.9799,1.0505,0.9225,0.1259,1.1987,1.2482,1.8459,1.0265,0.7762,0.4341,0,0.8908,0.5124,1.0092,1.3722,1.3069,0.7283,1.2234,1.2543,0.9761,0.5741,1.1321,0.4274,0.6897,0.9445,0.7096
Cell_133,0.7428,0.8774,1.1965,1.4071,1.5939,4.1903,4.4456,3.9139,3.419,3.6138,0.7012,0.5554,0.6546,1.1379,1.1639,0,1.1512,1.4261,1.0788,1.7174,1.2577,0.6002,0.5911,0.6698,0.0479,1.3242,0.1445,1.4264,0.818,0.8928,1.4055,1.3376,0.3556,1.3863,0.5197,0.2818,0.5623,1.0962,1.2828,0.9267,0.7698,0.8597,1.3074,1.7362,1.4488,0.7774,1.5424,0.8436,1.6937,1.2157
Cell_134,2.1687,1.0924,0.2872,0.6685,0.752,3.3966,5.8562,4.7197,4.7905,3.6325,1.3746,0.1442,0.0373,0.7703,0.877,1.2698,1.6021,0.5324,0.8749,1.5383,0.8769,1.0829,0.9086,1.5901,1.4121,0.3284,0.8648,1.5528,1.7042,0.7177,0.9783,1.3061,0.1696,1.5489,0.2388,0.0126,1.106,1.5597,2.1433,0.6784,0.1381,1.3102,0.0508,0.4517,0.845,1.3786,0.7508,0.9676,1.2083,0
Cell_135,1.1512,1.4138,1.2222,0.4467,0.3573,4.1563,5.47,4.7885,3.6216,3.2331,1.2733,0.983,0.4954,1.2743,0.4885,0.9049,1.5977,0.9172,0.7571,0.3699,1.1048,0,1.3198,1.8235,0.605,1.5149,0.7464,1.2339,0.9412,1.0076,1.0325,1.3362,0.5034,0.9037,1.1329,0.8487,1.4993,0.7171,0.242,1.1693,0.3498,0.3358,1.5623,0.8003,0,1.0852,0.5897,0.9246,0.9374,0.5581
Cell_136,0,1.2444,1.2625,2.0349,0.5132,4.2244,4.8358,4.0423,3.932,3.8159,0.6592,1.3818,0.6658,1.7472,1.1071,0.6151,1.472,0.8067,1.1901,1.1101,0.9211,1.0489,1.4603,0.2839,0.8245,0.3602,1.6411,1.3552,1.786,0.3979,1.5979,0.786,0.0847,0.3459,1.609,0.8901,1.1322,0.5518,1.1317,0.6885,0.9179,0.8532,2.1791,0.8358,1.2068,0.6957,1.6926,0.856,0.8021,0.9141
Cell_137,1.3539,0.9419,0.3873,1.0058,0.3779,3.3582,4.5827,3.4593,4.8163,4.2803,1.1692,0.3531,0,1.1289,0.153,0.4389,1.3607,0.9466,1.6051,0.6454,0.532,1.4481,1.1719,0.7385,0.9411,1.0247,1.2004,1.0186,1.3191,0.8338,0.8713,1.0942,0.224,0.4621,1.3023,1.789,0.743,1.6971,0.5535,1.4588,1.7753,0.5652,1.0414,1.5115,1.0535,0.9445,1.0105,0.5403,0.9808,0.7398
Cell_138,1.4571,0.5907,1.1877,1.8237,0.4995,5.2282,3.5803,4.4974,3.7439,3.6242,0.2074,0.8272,0.5439,0.6088,0.6876,0.7465,2.0142,1.4042,0.7058,1.1274,0.6508,0.8315,0,0.4292,0,0,0.8538,0.0191,1.2253,0.4416,1.4637,0.9794,0.5035,1.5619,0.9738,1.3667,0.322,1.028,1.5731,1.1074,0.6782,1.1696,1.3237,1.6282,1.2135,1.0534,1.1125,0.7985,0.0391,0.4243
Cell_139,1.4785,0.5783,1.0586,0.6187,1.4721,4.3172,5.1615,4.3637,3.7118,3.7353,1.3669,0,0.5433,1.4124,1.7154,0.2269,0.8374,1.3461,0.6866,0.9548,1.4198,1.2865,1.3467,0,1.0524,1.0837,0.3816,1.0111,0,0.924,0.9347,0.7885,0.0432,0.6219,0.8354,1.3587,0.4446,0.7778,0.5921,1.4487,1.6574,1.9844,0.7768,1.0785,0.9582,0.9556,1.1956,0,1.0318,0.7731
Cell_140,0.7695,1.6761,0.6209,1.8077,0.5081,3.2235,3.9193,3.5213,3.7402,4.8666,1.2509,1.1808,0.979,0.8748,0.3287,1.6538,0.835,0.9758,1.2003,0.2647,1.0764,0.6392,0.0688,0.7541,1.5421,1.0154,0.8384,0.3045,0.0574,0.689,0.9761,0.6993,0.4402,1.324,0.9106,2.1818,0.3308,0.0038,0.236,0.2876,2.0886,0.6757,0.7199,0.9074,1.1099,0.611,1.0869,1.4239,1.1102,0.5438
Cell_141,1.6841,1.3173,1.6569,0.4858,0.3686,4.4502,3.8858,3.3965,3.7447,5.5871,0.6861,1.2039,1.684,0.1961,0.8867,1.4057,1.5545,0.469,1.2341,1.1596,1.5114,1.2538,1.335,1.13,1.7294,1.2774,1.2824,1.163,0.5241,2.1308,0.603,0.942,1.55,0.1141,0.9365,1.9328,1.2943,0.8265,0.6844,0.1922,0.8313,0.6473,1.5669,1.023,0.3799,1.4954,0.4897,1.2629,1.1087,0.4526
Cell_142,0.7013,1.396,1.423,0,1.9528,4.4612,3.7885,3.1066,4.7582,4.9562,0.8999,2.5039,0.8422,1.8907,0.6812,1.7335,0.4001,0.8012,0.7116,1.107,0.497,0.7151,0.381,1.4758,1.2853,1.9271,0.3692,1.2371,1.2147,0.905,1.5496,0.8221,0.2202,0.8739,1.2473,1.1829,0.8048,0.9248,0.8606,0.0529,1.1582,1.6358,1.1503,1.5749,1.2699,0.1144,0.8653,1.3454,0,1.0684
Cell_143,0.3027,0.292,0.8279,1.1361,1.5199,4.8814,4.0071,4.0835,5.5624,3.4323,1.3514,1.3208,1.1652,2.1795,0.7462,2.3998,0.7484,1.0665,1.1284,0.7495,1.2917,0.0977,0.4865,1.3494,1.4511,1.7936,0.6876,1.3815,0.6609,0.0238,1.1231,1.9102,1.3618,1.79,0.3305,1.0876,0.097,1.7663,0.9527,0.3647,1.0127,1.1524,0.5327,0.2273,0,0.135,1.0718,1.218,0.4397,0.9469
Cell_144,0.8937,0.2196,0.7065,0.4329,1.3644,3.5587,3.5752,4.5579,3.5068,3.9678,1.3883,1.9298,1.1938,1.1439,1.0825,0.7922,0.9286,0.6462,1.9336,0.7191,1.3511,0.9406,1.4929,2.6627,0.0754,1.2073,1.3699,1.6495,1.2527,1.1808,1.2313,1.1656,1.2489,0.8209,0.452,1.481,1.7646,1.056,1.2343,0.4114,0.9509,0.6575,1.1625,1.3465,0,0.8937,1.0177,0.4539,1.5226,1.6713
Cell_145,0.9641,1.3834,0.9093,1.0148,0.36,2.6342,4.7098,4.601,3.6843,3.6525,1.0954,0,0.5963,0.5802,0.1646,0.6551,1.3929,0.5896,0.3121,0.9032,1.8634,0.573,1.1581,1.1492,1.2263,1.267,0.9777,1.0935,0,1.8532,1.8657,1.2482,0.878,1.2525,1.3826,2.0032,0.7082,1.718,0.6455,0.7878,1.4881,1.1921,1.1284,1.8968,0.6536,1.1304,1.0167,0.9581,0.9092,1.1779
Cell_146,1.2521,0.3229,1.5045,0.395,0,3.6733,3.3406,4.2577,3.9033,4.784,1.3017,1.1909,1.6105,0.6561,0.963,0.6025,1.0923,1.1406,0.3311,0.0493,0.9982,0.5769,1.3477,1.5207,2.2211,1.063,1.2003,1.1066,0.6109,0.8283,1.4194,0.946,0.9476,1.9968,1.2839,1.1963,0,0.52,1.2562,0.5511,0.9881,0.2019,1.1918,0.9956,1.4381,1.6294,0.4282,1.9004,0.2916,2.4352
Cell_147,1.0102,1.3934,1.2422,0.4432,0.9731,4.0055,4.0336,4.4063,3.2564,4.6528,0,1.9076,1.7223,0.5626,0.9023,0.621,0.4575,1.1481,0.6271,1.2259,1.4467,1.1671,0.1176,0.1308,1.0968,0,0.6061,0.6334,1.1598,0.7863,1.2915,0.7878,1.1647,0.5458,0.7661,1.0648,0.5396,0.4185,0.9597,1.1888,0.2513,0.0712,0.331,1.4929,1.7387,0.7081,1.205,1.4332,0.8301,0.8452
Cell_148,0.9689,1.1141,0.6835,1.2709,0.7929,4.253,4.2225,4.8991,3.8498,4.3499,1.6633,1.0882,1.242,1.1156,1.7426,1.1743,0.532,0.8632,0.3099,1.3445,0.9377,0.2878,1.4077,0.9615,1.2929,1.4498,1.0452,0.3063,0.7828,0.8436,1.5699,1.3017,1.701,0.4997,1.4685,1.4708,1.1566,1.6557,1.0479,0.7745,0.8436,1.3793,1.5588,0.191,1.0642,0.8562,0.9921,1.6309,1.7911,0.91
Cell_149,1.0998,1.0543,0.9405,0,1.3126,3.9214,4.4459,3.756,4.5416,4.296,0.3734,0.9772,0.7865,1.0654,1.4578,0.7992,0,1.2428,1.1873,0,1.2389,1.054,0.3911,0.5754,1.2838,1.4711,0.8685,1.1025,1.1683,1.2926,2.0564,0.5808,1.4386,1.7832,1.1214,0.6316,0.6058,1.1222,0.5745,0.9545,1.8915,0.6384,1.4126,1.0481,1.288,0.7112,1.1546,0.8302,1.1961,1.247
Cell_150,1.0617,0.8001,0.0978,1.4988,0.2985,4.1453,4.2718,3.9618,3.9466,3.9519,2.0418,1.1055,0.2846,1.2505,1.3178,0.7935,0,1.7806,1.4474,1.0172,0.9396,1.196,1.6948,1.2458,0.8295,1.5197,0.6502,1.0177,1.2518,1.0257,1.2467,1.1368,0.6147,0.902,0.9785,1.0436,0.8914,0.8215,1.1189,0.8794,1.3015,1.4901,0.5093,1.0112,1.0585,1.1829,0.3028,0.9241,0.5645,1.0913
Cell_151,0.4381,1.2575,1.0589,0.6972,1.6542,1.1004,0.4811,1.1619,0.9029,0.3641,4.0794,5.0219,2.9284,5.1446,4.1315,1.1225,0.2791,1.2853,1.6082,0.9773,1.3517,0,1.3807,1.3359,1.7154,1.0063,1.6134,0.3399,0.6127,0.4725,1.446,0.4063,0.0988,1.2441,0.7899,2.2912,1.4152,0.4474,0.6693,1.2711,0.9305,0.9268,1.5741,1.1367,1.2816,0.9277,0.7735,1.6542,1.8999,1.6323
Cell_152,0.3903,0.7526,0.5855,0.3927,1.453,1.2097,0.7601,0.7351,1.8163,0,3.7762,5.4478,4.2134,3.3106,3.0474,0.3051,1.3017,1.0726,0.6974,0.9012,0.4562,1.506,1.1799,1.7738,0.7877,0.8482,0.5124,0.4204,0.8279,0.8062,0.9452,1.2022,0.8647,1.7386,0.822,1.6125,1.0096,0.7687,0.9553,1.0932,1.1803,0.1945,0.7568,1.3264,0.4182,0.4808,1.5586,0.9627,1.0722,1.358
Cell_153,0.4185,0.7711,0.3801,0.7606,0.4743,1.194,1.809,0.2703,1.6955,0.2511,4.3738,3.9894,4.2732,3.4008,4.3992,0.7344,1.1867,0.6393,1.2881,0.509,1.2903,1.4675,0.4757,0.9542,0.4305,1.1888,0.6187,0.9286,1.4375,0.5409,1.6271,0.1278,0.2329,1.4559,0.1859,0.4779,1.1348,1.2957,1.2977,1.3411,0.8869,0.7887,1.0163,1.0826,1.2786,0.5479,1.2227,1.8159,1.4206,1.1614
Cell_154,1.0097,1.1171,2.0027,1.0495,1.6628,1.6747,1.6303,1.1636,0.188,0.5882,2.9372,4.8652,4.5946,3.0826,4.3563,1.6109,0.7904,1.6616,1.0807,0.2542,1.1459,1.9247,1.703,1.3265,0.4639,1.0508,1.0949,1.2067,1.3264,1.2774,1.575,1.4685,1.3489,1.61,1.1017,1.9283,0.8295,0.9506,1.2419,1.3273,1.1869,0.3094,1.4896,0.5753,0.7433,1.2405,0.2154,0.7146,0.6752,0.9263
Cell_155,1.8663,0,1.1269,1.4224,1.1919,1.3667,1.2066,1.6998,0.7298,1.1269,3.5168,3.4755,4.5649,3.5657,4.3708,1.843,1.7725,0.9984,0.221,1.9149,1.1637,1.4673,0.8256,1.5944,1.6693,0.9863,0,1.8933,0.268,1.2221,0.4172,0.4907,0.9023,1.6992,0.7928,0.3029,0.4474,1.0959,0.5625,1.3996,0.5496,1.837,0.7941,1.3389,0.8002,1.1815,1.4076,1.4974,1.6272,1.2168
Cell_156,0.599,0.8874,0.3792,0.8845,0.1882,0.9474,1.4336,0.1012,0.9573,0.6504,5.0182,4.9285,3.6148,3.8057,4.6146,1.2308,1.2733,1.236,1.0614,0.7993,1.3372,0.5991,0.7456,1.5578,1.777,1.2834,0.2984,0.5663,1.5143,1.2984,1.1488,1.1666,0.6187,1.298,1.0927,0.9071,1.5456,1.0596,0.0518,0.7106,0.2888,0.6229,1.8755,0.6844,0.7491,0.5142,1.2566,1.3645,0.8108,1.1814
Cell_157,0.695,0.0018,1.8472,1.6509,1.2128,2.7527,0.9977,1.1935,1.475,0,4.2829,2.9657,3.3233,3.3092,3.5298,1.1546,1.0384,0,0.49,1.0123,1.1162,0.1266,1.1784,1.4594,1.3295,1.3519,0.9873,0.6139,1.2426,1.0001,1.1608,1.0085,1.5319,2.0385,0.5303,1.1035,0.331,0,1.5721,1.2803,0.947,0,1.0371,1.1731,0.8453,0.5965,0.5481,0.3867,2.2815,1.4493
Cell_158,0.8921,0.8249,0.8324,1.1985,1.4421,1.183,0.5351,0.8754,1.3299,0.7646,3.3312,2.9696,3.3917,3.2128,3.1993,1.4813,0.8114,1.644,0.8435,1.0568,0.4384,1.0357,0.5281,0.4437,0.5506,0.6716,0.506,0.5573,1.598,1.189,1.1901,0,0.239,0.9058,0.4089,1.2554,1.1147,0.9465,1.1995,0.3967,1.2333,1.3566,1.2985,1.6081,0.5027,0.3688,1.6324,0.0946,0.1772,1.3613
Cell_159,1.3058,1.3027,1.7233,1.5017,1.034,1.2013,0.6238,1.0249,0.4361,0.7826,4.5286,4.2811,3.4404,3.8866,3.7245,1.29,0.4129,0.4182,1.4014,0,0.5858,1.9822,0.6593,1.1741,1.7474,1.758,0.1681,0,1.4333,1.4869,0.7773,1.7522,1.1737,1.8754,0.5433,0.7571,1.2848,1.0748,0.7552,0.4215,0.5766,0,0.5364,0.7791,0.3867,0.7673,1.4855,1.1326,1.773,0.9709
Cell_160,1.1727,0.5984,0.8726,0.5347,1.135,0.4644,0.5231,0.6582,1.2588,0.8236,3.6226,3.6306,4.371,3.7857,4.7961,1.6991,1.271,1.6403,0.777,1.0565,0.706,0.0838,0.9764,1.3007,0.6663,0.7769,0.7036,0.7801,1.0661,0.2609,1.0971,1.2051,1.2604,1.0281,1.4086,0.9108,0,1.2536,1.1933,0.6635,1.6088,0.7175,1.701,0.1306,0.6432,1.4075,0.6048,0.6723,0.0172,0.0593
Cell_161,0.5673,0.2983,0.5415,0.8327,1.6393,0.434,1.1317,1.3284,0.4706,0.4643,4.25,3.8018,3.8493,3.7716,4.2433,0.7386,1.741,0.8953,1.3074,0.9278,0.5193,1.3845,1.2396,0.8144,0.2797,0.9915,1.2775,0.0814,0.9386,1.3975,1.1529,0.9041,0.6445,0.7895,2.1138,0.3473,1.7585,1.0735,1.0954,0.1116,0.7431,0.3224,0.8332,1.1181,1.0073,1.2158,1.0298,0.9164,0.9127,0.8147
Cell_162,0.6401,1.63,0.8297,1.2125,1.5236,0.2383,1.0108,0.9961,0.8232,0.5812,3.3314,4.04,4.2577,4.3772,5.1303,0.5343,1.5498,1.3882,0,1.091,0.9428,0.4108,0.9226,1.1104,0.3618,1.0979,0.5708,1.581,0.5865,0.5295,1.1355,0.3813,0.707,1.5447,1.0592,0.5653,0.8566,0.5108,1.1172,0.1572,0.4763,1.2058,0.385,1.4244,0,0.1584,1.3844,0.514,0.7365,2.4048
Cell_163,1.5896,1.1338,1.232,0.8268,1.8044,1.1329,0.5712,1.9922,1.9665,0.4183,4.3584,3.6134,3.5004,3.6802,4.3069,0.8262,1.5051,0.9623,1.3246,0.8081,1.4289,0.0651,0.9352,0.5261,0.6558,1.1077,1.2033,0.6459,1.1566,0.4289,1.2412,1.0441,1.1425,1.0164,1.1274,1.035,0.5611,0.1146,1.5227,0.4329,0.9896,1.024,0.2961,0.6489,1.2537,0.6781,1.3696,1.0553,1.2164,1.0486
